,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
448,Terrace,CA,54.5163,-128.6035,37.4,65,20,13.8,few clouds
449,Phuket,TH,8.0,98.25,82.4,78,75,4.61,broken clouds
450,Mongo,TD,12.1844,18.693,105.53,12,18,5.77,few clouds
451,Mednogorsk,RU,51.4128,57.595,51.66,52,48,15.17,scattered clouds
452,Gbongan,NG,7.4667,4.35,90.34,54,92,4.94,overcast clouds
453,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,83.26,68,39,8.81,scattered clouds
454,Saint George,US,37.1041,-113.5841,64.4,25,1,13.8,clear sky
455,Atar,MR,20.5169,-13.0499,95.5,14,0,8.39,clear sky
456,Beyneu,KZ,45.3167,55.2,79.9,16,73,15.12,broken clouds
457,Palmaner,IN,13.2,78.75,84.81,40,34,7.56,scattered clouds
458,Mayuge,UG,0.4597,33.4803,72.52,71,100,8.14,overcast clouds
459,Leon,MX,21.1167,-101.6667,62.6,67,75,4.61,broken clouds
460,Marsaxlokk,MT,35.8419,14.5431,66.2,59,20,10.36,few clouds
461,Nagapattinam,IN,10.7667,79.8333,84.83,68,100,10.2,overcast clouds
462,Awjilah,LY,29.1081,21.2869,79.63,34,0,20.45,clear sky
463,Garowe,SO,8.4054,48.4845,89.74,39,64,11.63,broken clouds
464,Palmer,US,42.1584,-72.3287,50.0,93,90,1.41,light rain
465,Shitanjing,CN,39.2342,106.3439,51.73,50,69,3.02,broken clouds
466,Roanoke Rapids,US,36.4615,-77.6542,54.0,100,90,9.22,overcast clouds
467,Husavik,IS,66.0449,-17.3389,44.6,87,90,1.14,overcast clouds
468,Coquimbo,CL,-29.9533,-71.3436,57.2,82,40,2.62,scattered clouds
469,Hutang,CN,31.5333,119.4833,60.01,99,100,4.0,light rain
470,Banda Aceh,ID,5.5577,95.3222,82.29,76,86,9.48,overcast clouds
471,Angoche,MZ,-16.2325,39.9086,79.09,84,100,5.03,light rain
472,Moose Factory,CA,51.2585,-80.6094,21.2,79,90,12.66,light snow
473,Port Blair,IN,11.6667,92.75,83.71,69,90,3.65,overcast clouds
474,Morros,BR,-9.4467,-46.3003,81.27,68,99,4.61,moderate rain
475,Sompeta,IN,18.9333,84.6,82.99,70,46,10.94,scattered clouds
476,Pundaguitan,PH,6.3711,126.1689,83.77,74,29,4.85,scattered clouds
477,Leningradskiy,RU,69.3833,178.4167,13.82,89,16,5.37,few clouds
478,Abnub,EG,27.2696,31.1511,98.6,16,0,11.5,clear sky
479,Aasiaat,GL,68.7098,-52.8699,35.22,82,70,6.24,broken clouds
480,Aukra,NO,62.7925,6.919,35.6,93,75,8.05,broken clouds
481,Sredniy Ikorets,RU,51.0675,39.7584,50.9,40,83,15.01,broken clouds
482,Ust-Uda,RU,54.1742,103.0304,31.62,88,100,3.62,overcast clouds
483,Cooma,AU,-36.2333,149.1333,32.0,100,8,4.61,clear sky
484,Cabra,ES,37.4725,-4.4421,66.2,88,20,4.61,few clouds
485,Luderitz,NA,-26.6481,15.1594,70.05,61,85,7.4,overcast clouds
486,Rawlins,US,41.7911,-107.2387,42.01,64,1,13.02,clear sky
487,Bandar,ID,2.05,99.75,73.99,96,30,3.24,scattered clouds
488,Sidney,AU,-33.8679,151.2073,59.0,84,34,4.0,light rain
489,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,35.6,93,75,2.24,broken clouds
490,Necochea,AR,-38.5473,-58.7368,64.0,79,100,7.0,overcast clouds
491,Pohrebyshche,UA,49.4864,29.2636,53.6,35,75,13.42,broken clouds
492,Ushtobe,KZ,45.2514,77.9838,58.42,27,100,5.95,overcast clouds
493,Tiksi,RU,71.6872,128.8694,23.18,96,100,5.44,overcast clouds
494,Srednekolymsk,RU,67.45,153.6833,-1.23,98,20,6.15,few clouds
495,Guangyuan,CN,32.442,105.823,54.75,91,100,4.81,light rain
496,Kahramanmaras,TR,38.0,37.0,86.0,26,40,9.22,scattered clouds
497,Oussouye,SN,12.485,-16.5469,86.0,61,0,4.61,clear sky
498,Kovdor,RU,67.5662,30.4758,32.49,94,100,14.99,light snow
499,Cacapava Do Sul,BR,-30.5122,-53.4914,62.49,69,100,8.7,overcast clouds
500,Los Llanos De Aridane,ES,28.6585,-17.9182,71.6,60,40,8.05,scattered clouds
501,Nhamunda,BR,-2.1861,-56.7131,82.15,82,97,1.03,moderate rain
502,Ode,NG,7.7899,5.7117,89.08,49,100,7.52,overcast clouds
503,Teya,RU,60.3778,92.6267,35.28,98,100,4.09,overcast clouds
504,Tongling,CN,30.95,117.7833,59.7,95,100,2.77,light rain
505,Khorinsk,RU,52.1657,109.7726,38.3,97,100,4.68,light rain
506,Lufilufi,WS,-13.8745,-171.5986,75.2,94,20,3.44,few clouds
507,Karakol,KG,42.4907,78.3936,48.13,47,79,5.99,broken clouds
508,Wairoa,NZ,-39.0333,177.3667,52.0,77,1,4.0,clear sky
509,Mackenzie,CA,55.2999,-123.1698,24.8,74,1,3.44,clear sky
510,Hervey Bay,AU,-25.2986,152.8535,64.0,81,0,3.0,clear sky
511,Salalah,OM,17.0151,54.0924,86.0,70,20,12.66,few clouds
512,Ibra,OM,22.6906,58.5334,97.57,9,79,12.35,broken clouds
513,Plettenberg Bay,ZA,-34.0527,23.3716,74.34,57,100,2.98,overcast clouds
514,Finschhafen,PG,-6.6024,147.8681,79.84,82,97,8.95,overcast clouds
515,Verkhoyansk,RU,67.5447,133.385,16.09,95,71,4.03,broken clouds
516,Vardo,NO,70.3705,31.1107,34.3,69,100,22.12,overcast clouds
517,Trelew,AR,-43.249,-65.3051,60.67,49,30,18.5,scattered clouds
518,Quchan,IR,37.106,58.5095,70.27,34,84,8.7,broken clouds
519,Parrita,CR,9.5201,-84.3225,73.4,73,40,13.8,scattered clouds
520,Taoudenni,ML,22.6783,-3.9836,105.1,7,0,9.82,clear sky
521,Malartic,CA,48.1335,-78.1328,33.8,93,90,4.61,moderate rain
522,Kolvereid,NO,64.8655,11.6047,37.4,75,75,13.8,broken clouds
523,Touros,BR,-5.1989,-35.4608,84.2,65,75,10.36,broken clouds
524,Mackay,AU,-21.15,149.2,75.2,73,90,12.66,overcast clouds
525,Aranos,NA,-24.1333,19.1167,82.24,14,27,2.77,scattered clouds
526,Dasoguz,TM,41.8363,59.9666,80.6,12,0,16.11,clear sky
527,Luohe,CN,33.5717,114.0353,53.51,83,100,7.94,overcast clouds
528,Grajau,BR,-5.8194,-46.1386,84.34,72,58,3.38,broken clouds
529,Marsa Matruh,EG,31.3525,27.2453,69.8,68,0,23.02,clear sky
530,Ballina,AU,-28.8667,153.5667,57.2,94,40,5.77,scattered clouds
531,Viedma,AR,-40.8135,-62.9967,60.96,56,0,5.66,clear sky
532,Sete,FR,43.4018,3.6966,60.8,59,0,5.75,light rain
533,Balabac,PH,7.9868,117.0645,81.64,78,4,8.7,clear sky
534,Cururupu,BR,-1.8283,-44.8683,82.15,83,100,4.52,overcast clouds
535,Usinsk,RU,65.9939,57.5281,43.83,74,100,11.45,overcast clouds
536,Sur,OM,22.5667,59.5289,88.84,42,0,3.6,clear sky
537,Tukrah,LY,32.5341,20.5791,64.83,71,1,17.05,clear sky
538,Beloha,MG,-25.1667,45.05,81.57,55,80,10.09,broken clouds
539,Bonthe,SL,7.5264,-12.505,91.92,51,94,10.89,overcast clouds
540,Berlevag,NO,70.8578,29.0864,32.4,66,71,14.07,broken clouds
541,Moroto,UG,2.5345,34.6666,76.87,54,87,1.88,light rain
542,Ban Chang,TH,12.7254,101.0553,88.0,79,20,5.75,few clouds
543,Dudinka,RU,69.4058,86.1778,3.9,99,36,3.36,scattered clouds
544,Ulladulla,AU,-35.35,150.4667,53.6,94,14,4.43,few clouds
545,Poco Branco,BR,-5.6228,-35.6628,86.0,65,75,10.36,broken clouds
546,Baghdad,IQ,33.3406,44.4009,104.0,12,0,9.22,clear sky
547,Meiganga,CM,6.5167,14.3,69.85,85,100,1.59,overcast clouds
548,Mecca,SA,21.4267,39.8261,94.96,25,4,16.11,clear sky
549,Abay,KZ,49.6311,72.8539,60.8,11,0,13.42,clear sky
550,Chisinau,MD,47.0056,28.8575,60.8,39,0,11.5,clear sky
551,Vesyegonsk,RU,58.664,37.2604,33.19,98,100,12.71,snow
552,Camacupa,AO,-12.0167,17.4833,79.77,36,100,3.06,overcast clouds
553,Yumen,CN,40.2833,97.2,45.54,10,100,26.44,overcast clouds
554,Qui Nhon,VN,13.7667,109.2333,80.53,87,57,3.42,broken clouds
555,Nagato,JP,34.3833,131.2,57.2,67,20,11.5,few clouds
556,Ust-Omchug,RU,61.15,149.6333,-8.63,98,17,1.66,few clouds
557,Boshnyakovo,RU,49.6333,142.1667,25.61,83,100,4.16,overcast clouds
558,Balkanabat,TM,39.5108,54.3671,87.57,27,1,5.44,clear sky
559,Morondava,MG,-20.2833,44.2833,82.71,63,9,8.12,clear sky
560,Joensuu,FI,62.6012,29.7632,37.99,100,90,8.05,mist
561,Saquarema,BR,-22.92,-42.5103,78.8,78,40,4.61,scattered clouds
562,Kununurra,AU,-15.7667,128.7333,64.4,77,39,1.14,scattered clouds
563,Moron,AR,-34.6534,-58.6198,64.0,69,0,4.0,clear sky
564,Tecoanapa,MX,16.5167,-98.75,81.37,68,100,1.68,overcast clouds
565,Serov,RU,59.6033,60.5787,51.26,49,97,11.48,overcast clouds
566,Mandurah,AU,-32.55,115.7,64.0,77,0,7.36,clear sky
567,Winnemucca,US,40.973,-117.7357,41.0,81,90,3.44,overcast clouds
568,Pskov,RU,57.8136,28.3496,46.4,53,40,13.42,scattered clouds
569,Puerto Madryn,AR,-42.7692,-65.0385,60.3,55,14,20.04,few clouds
570,Dargaville,NZ,-35.9333,173.8833,55.26,76,32,6.2,scattered clouds
571,Tsybuliv,UA,49.0766,29.8461,52.07,59,100,13.11,overcast clouds
572,Araouane,ML,18.9048,-3.5265,105.17,8,56,4.29,broken clouds
573,Mandleshwar,IN,22.1833,75.6667,91.4,8,98,5.75,overcast clouds
574,Broome,US,42.2506,-75.833,48.99,87,90,3.04,overcast clouds
575,Petropavlivka,UA,48.4564,36.4367,54.19,31,42,5.55,scattered clouds
576,Voi,KE,-3.3945,38.563,85.3,48,100,17.09,overcast clouds
577,Vostok,RU,46.4856,135.8833,24.04,52,6,4.03,clear sky
578,Baft,IR,29.234,56.6057,71.65,15,97,14.0,overcast clouds
579,Sechura,PE,-5.5569,-80.8222,72.21,72,48,10.98,scattered clouds
580,Suntar,RU,62.1444,117.6319,35.76,97,100,7.34,light rain
581,Karpogory,RU,64.0019,44.4451,43.65,84,100,6.13,overcast clouds
582,Sai Buri,TH,6.7013,101.6168,80.49,79,70,4.38,light rain
583,Yeppoon,AU,-23.1333,150.7333,64.4,77,6,10.13,clear sky
584,Brae,GB,60.3964,-1.353,46.4,71,20,10.36,few clouds
585,Digby,CA,44.6169,-65.7655,59.0,54,97,3.44,overcast clouds
586,Sultanpur,IN,26.2667,82.0667,89.06,10,100,7.52,overcast clouds
587,Ferrol,ES,43.4832,-8.2369,59.0,95,100,0.2,light rain
588,Catamarca,AR,-28.4696,-65.7852,68.0,74,6,5.99,clear sky
589,Zhangjiakou,CN,40.81,114.8794,56.23,56,50,10.04,scattered clouds
590,Ewo,CG,-0.8725,14.8206,90.1,48,71,0.34,broken clouds
591,Yambio,SS,4.5721,28.3955,74.57,82,100,3.76,light rain
592,Riesa,DE,51.3,13.3,48.99,46,75,10.36,broken clouds
593,Bosaso,SO,11.2842,49.1816,86.0,79,0,9.22,moderate rain
594,Honiara,SB,-9.4333,159.95,78.37,85,96,3.44,overcast clouds
595,Hami,CN,42.8,93.45,48.47,15,100,8.43,overcast clouds
596,Nouadhibou,MR,20.931,-17.0347,80.6,41,0,21.85,clear sky
597,Vallenar,CL,-28.5708,-70.7581,67.75,50,0,2.55,clear sky
598,Paciran,ID,-6.8767,112.3761,80.42,78,45,9.84,scattered clouds
599,Nagyoroszi,HU,48.005,19.0905,64.99,40,18,8.99,few clouds
600,Houma,US,29.5958,-90.7195,63.0,77,1,11.5,clear sky
601,Kurilsk,RU,45.2333,147.8833,28.51,90,95,13.8,light snow
602,Nikel,RU,69.4128,30.222,33.8,64,90,19.57,overcast clouds
603,Chiniot,PK,31.72,72.9789,89.15,16,0,2.68,clear sky
604,San Quintin,MX,30.4833,-115.95,57.24,86,66,7.16,broken clouds
605,Qandala,SO,11.472,49.8728,85.8,63,35,2.64,light rain
606,Dawei,MM,14.0833,98.2,77.47,89,86,2.44,overcast clouds
607,Belyy Yar,RU,53.6039,91.3903,44.6,39,0,2.24,clear sky
608,Port-Gentil,GA,-0.7193,8.7815,89.6,66,40,6.91,scattered clouds
609,Valparaiso,CL,-33.0393,-71.6273,51.8,100,0,3.44,clear sky
610,Lodja,CD,-3.4833,23.4333,84.61,60,72,3.2,broken clouds
611,Jumla,NP,29.2747,82.1838,52.56,38,65,2.93,broken clouds
612,Manga,BF,11.6636,-1.0731,104.13,16,88,2.42,overcast clouds
613,Alenquer,BR,-1.9417,-54.7383,86.0,74,40,6.91,scattered clouds
614,Lamar,US,33.6668,-95.5836,57.0,94,20,11.5,few clouds
615,Ranghulu,CN,46.65,124.8667,50.99,29,47,6.93,scattered clouds
616,Marsh Harbour,BS,26.5412,-77.0636,79.3,74,2,15.21,clear sky
617,Batticaloa,LK,7.7102,81.6924,82.56,67,8,10.13,clear sky
618,Macapa,BR,0.0389,-51.0664,86.0,74,40,8.05,scattered clouds
619,Katherine,AU,-14.4667,132.2667,73.4,73,100,3.44,overcast clouds
620,Magadan,RU,59.5667,150.8,15.85,74,79,7.07,broken clouds
621,Den Helder,NL,52.9599,4.7593,48.2,53,75,9.22,broken clouds
622,Seoul,KR,37.5683,126.9778,60.8,51,0,3.44,clear sky
623,Fukue,JP,32.6881,128.8419,60.71,73,6,30.89,clear sky
624,Keffi,NG,8.8486,7.8736,93.2,52,20,4.61,few clouds
625,Yuanping,CN,38.7153,112.7575,54.19,62,100,3.27,overcast clouds
626,Rafaela,AR,-31.2503,-61.4867,64.0,56,0,1.99,clear sky
627,Xiongzhou,CN,25.1167,114.3,65.68,88,100,3.62,overcast clouds
628,Karamadai,IN,11.2406,76.9601,89.6,58,40,8.05,light rain
629,Salo,IT,45.6086,10.531,73.99,33,37,4.61,scattered clouds
630,Bronnoysund,NO,65.4625,12.1997,39.2,60,75,13.8,broken clouds
631,Matadi,CD,-5.8167,13.45,88.14,65,72,1.9,broken clouds
632,Seddon,AU,-37.8068,144.8916,57.0,93,26,4.61,scattered clouds
633,Atasu,KZ,48.6814,71.6433,55.02,36,0,7.27,clear sky
634,Lubango,AO,-14.9172,13.4925,71.76,49,100,1.57,overcast clouds
635,Arkadelphia,US,34.1209,-93.0538,50.0,74,1,3.18,clear sky
636,Caucaia,BR,-3.7361,-38.6531,84.2,74,40,9.22,scattered clouds
637,La Orilla,MX,17.9833,-102.2333,77.38,65,100,3.51,overcast clouds
638,Kindu,CD,-2.95,25.95,74.46,86,100,2.08,overcast clouds
639,Araxa,BR,-19.5933,-46.9406,77.0,44,0,2.3,clear sky
640,Varniai,LT,55.7406,22.3644,41.0,60,75,18.41,broken clouds
641,Mortka,RU,59.3322,66.0214,50.9,42,100,10.71,overcast clouds
642,Sola,VU,-13.8833,167.55,78.8,94,75,9.31,broken clouds
643,Bo Rai,TH,12.5728,102.5371,78.62,87,82,2.89,light rain
644,Gwembe,ZM,-16.4975,27.6069,77.14,41,89,5.99,overcast clouds
645,Never,FR,46.9896,3.159,73.4,33,0,8.05,clear sky
646,Tilichiki,RU,60.4667,166.1,26.76,97,100,2.48,light snow
647,Mercedes,AR,-34.6515,-59.4307,62.01,79,0,3.0,clear sky
648,Lujiang,CN,31.2581,117.2817,60.01,88,90,4.47,overcast clouds
649,Yamada,JP,39.4667,141.95,40.62,72,5,7.45,clear sky
650,Marinette,US,45.1,-87.6307,33.8,64,1,8.05,clear sky
651,Methoni,GR,36.8197,21.7049,68.0,60,40,10.36,scattered clouds
652,Rexburg,US,43.826,-111.7897,46.4,61,90,10.36,overcast clouds
653,Acapulco,MX,16.8634,-99.8901,75.2,73,90,4.61,overcast clouds
654,Kachug,RU,53.9606,105.8817,34.5,85,100,8.25,overcast clouds
655,Pachino,IT,36.7186,15.0907,68.0,52,4,10.36,clear sky
656,Kristiinankaupunki,FI,62.2743,21.376,35.01,77,100,18.79,overcast clouds
657,Meru,KE,0.0463,37.6559,71.13,69,90,7.23,light rain
658,Deputatskiy,RU,69.3,139.9,16.99,91,100,6.78,overcast clouds
659,Alpinopolis,BR,-20.8636,-46.3881,78.89,32,11,2.46,few clouds
660,Camacha,PT,33.0833,-16.3333,68.0,68,40,20.71,scattered clouds
661,Ormara,PK,25.2088,64.6357,82.09,77,0,10.94,clear sky
662,Kayiry,UA,46.9454,33.7059,53.22,41,47,3.98,scattered clouds
663,Sorland,NO,67.667,12.6934,37.4,70,40,6.91,scattered clouds
664,Springbok,ZA,-29.6643,17.8865,73.18,33,100,11.03,overcast clouds
665,Mangrol,IN,21.1167,70.1167,83.39,74,0,14.18,clear sky
666,Mount Gambier,AU,-37.8333,140.7667,46.4,100,4,2.3,clear sky
667,Sandwick,GB,60.0,-1.25,46.4,71,20,10.36,few clouds
668,Puerto Montt,CL,-41.4698,-72.9447,41.0,100,90,1.14,fog
669,Santa Luzia,BR,-19.7697,-43.8514,78.8,61,0,2.3,clear sky
670,Rena,NO,61.1348,11.3641,43.0,51,100,5.01,overcast clouds
671,Lazaro Cardenas,MX,17.9583,-102.2,77.47,67,100,3.74,overcast clouds
672,Isabela,PH,6.7085,121.9711,82.4,78,20,5.75,few clouds
673,Zhigansk,RU,66.7697,123.3711,32.95,98,100,10.78,overcast clouds
674,Axim,GH,4.8699,-2.2405,84.47,70,97,8.75,overcast clouds
